# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# And altered by Lars Emil Knudsen
#
# COLUMN psys_name:		 Planet System name		 
# COLUMN psys_pictureurl:Picture picture url
# COLUMN st_name:		 Star name
# COLUMN st_mass: 		 Star mass (kg)
# COLUMN st_radius: 	 Star radius (km)
# COLUMN st_efftemp:	 Star effective temperature (Kelvin)
# COLUMN st_pictureurl:  Star picture url
# COLUMN pl_name:	     Planet name
# COLUMN pl_mass:		 Planet mass (kg)
# COLUMN pl_radius: 	 Planet radius (km)
# COLUMN pl_semimajor:	 PLanet Semi-majo Axis (km)
# COLUMN pl_ecc:		 Planet Eccentricity
# COLUMN pl_orbper:		 Planet Orbital period (days)
# COLUMN pl_pictureurl:  Planet picture url
# psys_name,psys_pictureurl,st_name,st_mass,st_radius,st_efftemp,st_pictureurl,pl_name,pl_mass,pl_radius,pl_semimajor,pl_ecc,pl_orbper,pl_pictureurl
OGLE-2015-BLG-0051L System,http://bit.ly/2Iz4jPB,OGLE-2015-BLG-0051L,1.98892E29,0.0,0.0,http://bit.ly/336nzNZ,OGLE-2015-BLG-0051L b,1.36656E27,0.0,1.0920644583E8,0.0,0.0,http://bit.ly/2Q2PngD
Kepler-413 System,http://bit.ly/2Iz4jPB,Kepler-413,1.6309143999999998E30,542646.0,4700.0,http://bit.ly/336nzNZ,Kepler-413 b,4.00478E26,27738.896,5.31521235663E7,0.1181,66.262,http://bit.ly/2Q2PngD
WASP-49 System,http://bit.ly/2Iz4jPB,WASP-49,1.8298064E30,674829.0,5600.0,http://bit.ly/336nzNZ,WASP-49 b,7.022599999999999E26,79356.12000000001,0.0,0.0,2.78174,http://bit.ly/2Q2PngD
K2-11 System,http://bit.ly/2Iz4jPB,K2-11,2.685042E30,3582855.0000000005,5433.0,http://bit.ly/336nzNZ,K2-11 b,0.0,48185.608,3.37642394847E7,0.0,39.93767,http://bit.ly/2Q2PngD
K2-111 System,http://bit.ly/2Iz4jPB,K2-111,1.7502496E30,855711.0,5730.0,http://bit.ly/336nzNZ,K2-111 b,5.135988E25,12153.640000000001,9290027.7891,0.0,5.35117,http://bit.ly/2Q2PngD
Kepler-435 System,http://bit.ly/2Iz4jPB,Kepler-435,3.0629368E30,2233197.0,6161.0,http://bit.ly/336nzNZ,Kepler-435 b,1.5943199999999998E27,142269.08,1.4181878170799999E7,0.114,8.6001536,http://bit.ly/2Q2PngD
WASP-181 System,http://bit.ly/2Iz4jPB,WASP-181,2.0684768E30,667872.0,5839.0,http://bit.ly/336nzNZ,WASP-181 b,5.67502E26,84646.52799999999,8118676.45917,0.0,4.5195064,http://bit.ly/2Q2PngD
Kepler-1628 System,http://bit.ly/2Iz4jPB,Kepler-1628,1.093906E30,361764.0,3724.0,http://bit.ly/336nzNZ,Kepler-1628 b,0.0,41036.407999999996,0.0,0.0,76.378033,http://bit.ly/2Q2PngD
Kepler-1592 System,http://bit.ly/2Iz4jPB,Kepler-1592,2.3469255999999997E30,890496.0,6213.0,http://bit.ly/336nzNZ,Kepler-1592 b,0.0,9794.404,0.0,0.0,3.05710069,http://bit.ly/2Q2PngD
HIP 8541 System,http://bit.ly/2Iz4jPB,HIP 8541,2.3270363999999997E30,5447331.0,4670.0,http://bit.ly/336nzNZ,HIP 8541 b,1.0439E28,0.0,4.1887403879999995E8,0.16,1560.2,http://bit.ly/2Q2PngD
